	MA0265.2	MA0266.1	MA0267.1	MA0268.1	MA0269.1	MA0270.1	MA0271.1	MA0272.1	MA0273.1	MA0274.1	MA0275.1	MA0276.1	MA0277.1	MA0278.1	MA0279.2	MA0280.1	MA0281.2	MA0282.1	MA0283.1	MA0284.2	MA0285.1	MA0286.1	MA0287.1	MA0288.1	MA0289.1	MA0290.1	MA0291.1	MA0292.1	MA0293.1	MA0294.1	MA0295.1	MA0296.1	MA0297.1	MA0299.1	MA0300.1	MA0301.1	MA0302.1	MA0303.2	MA0304.1	MA0305.1	MA0306.1	MA0307.1	MA0308.1	MA0309.1	MA0310.1	MA0311.1	MA0312.2	MA0313.1	MA0314.2	MA0316.1	MA0317.1	MA0318.1	MA0319.1	MA0320.1	MA0321.1	MA0322.1	MA0323.1	MA0324.1	MA0325.1	MA0326.1	MA0327.1	MA0328.2	MA0329.1	MA0330.1	MA0331.1	MA0332.1	MA0333.1	MA0334.1	MA0335.1	MA0336.1	MA0337.1	MA0338.1	MA0339.1	MA0340.1	MA0341.1	MA0342.1	MA0343.1	MA0344.1	MA0347.2	MA0348.1	MA0349.1	MA0350.1	MA0351.1	MA0352.2	MA0353.1	MA0354.1	MA0355.1	MA0356.1	MA0357.1	MA0358.1	MA0359.2	MA0360.1	MA0361.1	MA0362.1	MA0363.2	MA0364.1	MA0365.1	MA0366.1	MA0367.1	MA0368.1	MA0369.1	MA0370.1	MA0371.1	MA0372.1	MA0373.1	MA0374.1	MA0375.1	MA0376.1	MA0377.1	MA0378.1	MA0379.1	MA0380.1	MA0381.1	MA0382.2	MA0384.1	MA0385.1	MA0386.1	MA0387.1	MA0388.1	MA0389.1	MA0390.1	MA0391.1	MA0392.1	MA0393.1	MA0394.1	MA0395.1	MA0396.1	MA0397.1	MA0398.1	MA0399.1	MA0400.1	MA0401.1	MA0402.1	MA0403.2	MA0404.1	MA0405.1	MA0406.1	MA0407.1	MA0408.1	MA0409.1	MA0410.1	MA0411.1	MA0412.2	MA0413.1	MA0414.1	MA0415.1	MA0416.1	MA0417.1	MA0418.1	MA0419.1	MA0420.1	MA0421.1	MA0422.1	MA0423.1	MA0424.1	MA0425.1	MA0426.1	MA0428.1	MA0429.1	MA0430.1	MA0431.1	MA0432.1	MA0433.1	MA0434.1	MA0435.1	MA0436.1	MA0437.1	MA0438.1	MA0439.1	MA0440.1	MA0441.1	MA0929.1	MA1431.1	MA1432.1	MA1433.1	MA1434.1	MA1435.1	MA1436.1	MA1437.1
MA0307.1	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.0320792	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.0479712	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	1.919e-08	0.990988	0.0320792	0.990988	0.990988	0.0320792	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988
MA0308.1	0.490578	0.45158	0.775218	0.207751	0.0237274	0.73197	0.709994	0.575536	0.00107506	0.775218	0.0118194	0.438497	0.775218	0.00305181	0.775218	0.00280087	0.144271	0.144271	0.0426221	0.775218	0.709994	0.775218	0.775218	0.775218	0.775218	0.775218	0.270843	0.00305181	0.266731	0.287434	0.775218	0.520659	0.775218	0.100937	0.775218	0.367807	0.39138	0.775218	0.775218	0.775218	0.255747	0.775218	0.0	0.775218	0.775218	0.0277026	0.648288	0.775218	0.775218	0.775218	0.775218	0.775218	0.775218	0.37488	0.775218	0.775218	0.775218	0.466063	0.0530134	0.775218	0.775218	0.775218	0.775218	0.775218	0.341963	0.550264	0.577803	0.775218	0.249142	0.0426221	0.144271	0.199658	0.144271	0.775218	0.348431	0.452446	0.225837	0.0390687	0.775218	0.00256699	0.775218	0.0527875	0.0921946	0.0821328	0.358023	0.00824099	0.742748	0.775218	0.775218	0.09377	0.714279	0.152168	0.775218	0.144271	0.144271	0.114717	0.775218	0.578001	0.0036191	0.775218	0.775218	0.775218	0.775218	0.266731	0.775218	0.775218	0.775218	0.0372264	0.014613	0.247503	0.775218	0.00124557	0.775218	0.130308	0.648288	0.520659	0.266731	0.775218	0.775218	0.520659	0.213275	0.144271	0.0158368	0.775218	0.236187	0.00690317	0.775218	0.775218	0.775218	0.25725	1.55129e-07	0.775218	0.775218	0.134353	0.685479	0.230018	0.775218	0.775218	0.775218	0.709994	0.562486	0.775218	0.233015	0.00414755	0.646928	0.144271	0.775218	0.775218	0.270177	0.775218	0.130308	0.648288	0.00223915	0.544395	0.00248234	0.0399847	0.775218	0.0232598	0.287434	0.00124557	0.25725	0.0137961	0.775218	0.775218	0.0821328	0.775218	0.0527875	0.0527875	0.00519327	0.775218	0.182543	0.775218	0.0921946	0.0834374	0.215719	0.775218	0.122756	0.775218	0.775218
MA0309.1	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	7.09996e-05	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.000177735	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.0161493	0.990988	3.18561e-17	0.990988	0.990988	0.0520304	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988
MA0310.1	0.762055	0.961347	0.961347	0.961347	0.961347	0.887837	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.0271912	0.961347	0.961347	0.961347	0.961347	0.255049	0.961347	0.762055	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	2.06436e-14	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.576657	0.762055	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.217732	0.106455	0.961347	0.961347	0.762055	0.861709	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.0298187	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.762055	0.961347	0.0723452	0.961347	0.961347	0.961347	0.961347	0.961347	0.911465	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.0227665	0.961347	0.762055	0.961347	0.961347	0.961347	0.961347	0.255049	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.961347	0.0141832	0.961347
MA0311.1	0.901342	0.901342	0.901342	0.901342	0.901342	0.901342	0.901342	0.901342	0.481262	0.901342	0.0256008	0.901342	0.901342	0.704704	0.901342	0.0237258	0.901342	0.0210172	0.0381278	0.901342	0.901342	0.850596	0.901342	0.901342	0.901342	0.768921	0.850596	0.0339107	0.901342	0.0466731	0.338771	0.901342	0.901342	0.459807	0.901342	0.901342	0.901342	0.901342	0.249907	0.151853	0.901342	0.901342	0.112453	0.901342	0.901342	1.74891e-05	0.208104	0.901342	0.901342	0.901342	0.901342	0.901342	0.482926	0.249907	0.901342	0.901342	0.695985	0.32475	0.0237258	0.901342	0.901342	0.901342	0.901342	0.901342	0.481262	0.901342	0.901342	0.901342	0.901342	0.901342	0.901342	0.901342	0.901342	0.901342	0.901342	0.901342	0.901342	0.482926	0.901342	0.112453	0.850596	0.901342	0.901342	0.0237258	0.0237258	0.0237258	0.901342	0.901342	0.901342	0.212199	0.901342	0.0107896	0.901342	0.212199	0.817223	0.901342	0.901342	0.901342	0.0256008	0.901342	0.901342	0.868968	0.901342	0.901342	0.901342	0.704704	0.901342	0.901342	0.901342	0.901342	0.901342	0.0237258	0.901342	0.901342	0.901342	0.901342	0.901342	0.901342	0.901342	0.901342	0.901342	0.0101155	0.0978628	0.901342	0.597508	0.901342	0.850596	0.811193	0.901342	0.470989	0.0613873	0.29609	0.901342	0.901342	0.112453	0.636219	0.459807	0.901342	0.901342	0.901342	0.201733	0.901342	0.901342	0.901342	0.829922	0.901342	0.32475	0.901342	0.901342	0.901342	0.0155692	0.240632	0.0279266	0.901342	0.0237258	0.901342	0.901342	0.00525994	0.279945	0.0256008	0.901342	0.0237258	0.901342	0.901342	0.901342	0.901342	0.0837924	0.00681511	0.045572	0.901342	0.776804	0.901342	0.901342	0.901342	0.901342	0.901342	0.0447338	0.901342	0.901342
MA0312.2	0.677749	0.954632	0.954632	0.954632	0.954632	0.954632	0.954632	0.954632	0.378371	0.954632	0.651801	0.954632	0.954632	0.954632	0.954632	0.651801	0.954632	0.614456	0.954632	0.954632	0.954632	0.902739	0.954632	0.954632	0.247599	0.954632	0.954632	0.954632	0.614456	0.881355	0.954632	0.954632	0.954632	0.823761	0.247599	0.651801	0.616396	0.954632	0.954632	0.954632	0.498441	0.247599	0.954632	0.247599	0.954632	0.677749	6.77654e-21	0.628012	0.448805	0.760598	0.954632	0.954632	0.954632	0.760598	0.954632	0.954632	0.954632	0.651801	0.954632	0.954632	0.954632	0.954632	0.954632	0.954632	0.954632	0.954632	0.954632	0.954632	0.954632	0.954632	0.954632	0.954632	0.954632	0.954632	0.954632	0.954632	0.954632	0.954632	0.954632	0.651801	0.954632	0.645333	0.614456	0.954632	0.954632	0.498441	0.954632	0.823761	0.954632	0.677749	0.954632	0.823761	0.838527	0.378371	0.651801	0.954632	0.954632	0.954632	0.614456	0.954632	0.651801	0.651801	0.954632	0.651801	0.954632	0.954632	0.954632	0.954632	0.954632	0.954632	0.651801	0.677749	0.954632	0.954632	0.834515	0.954632	0.750094	0.954632	0.954632	0.760598	0.954632	0.498441	0.651801	0.954632	0.954632	0.954632	0.378371	0.448805	0.954632	0.954632	0.522182	0.760598	0.954632	0.954632	0.793497	0.954632	0.954632	0.954632	0.954632	0.954632	0.954632	0.821142	0.651801	0.954632	0.651801	0.954632	0.954632	0.954632	0.954632	0.954632	0.651801	0.614456	0.732333	0.651801	0.651801	0.954632	0.954632	0.651801	0.628012	0.813698	0.954632	0.522182	0.954632	0.651801	0.954632	0.954632	0.760598	0.498441	0.628012	0.954632	0.954632	0.954632	0.954632	0.954632	0.677749	0.821142	0.760598	0.954632	0.448805
MA0313.1	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	1.93352e-07	0.0171223	0.24338	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.120459	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796
MA0314.2	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.423978	0.0195617	3.7764e-34	0.000135762	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.927071	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.630585	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.546197	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.145389	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796	0.993796
MA0316.1	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.479494	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.65712	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.806419	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.0619892	7.22994e-06	0.0	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.0797687	0.0513019	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.65712	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.0513019	0.988181	0.988181	0.988181	0.988181	0.988181	0.826356	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181	0.988181
MA0317.1	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.0504115	0.0504115	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	5.5546e-22	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.32388	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.0265474	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988	0.990988
MA0318.1	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.37501	0.984034	0.984034	0.984034	0.628653	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.37501	0.444645	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	2.0662899999999998e-20	0.628653	0.984034	0.37501	0.363157	0.984034	0.984034	0.984034	0.984034	0.984034	9.62567e-07	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.37501	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.37501	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.37501	0.984034	0.984034	0.984034	0.984034	0.37501	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.444645	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.418118	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034	0.984034
MA0319.1	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.770383	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.596363	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.366983	0.596363	0.987529	0.987529	0.987529	0.987529	0.987529	0.770383	0.987529	0.987529	0.987529	0.987529	0.987529	0.675699	3.8246900000000004e-18	0.987529	0.987529	0.987529	0.987529	0.987529	0.675699	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.252403	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.366983	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.770383	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.366983	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.252403	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.288269	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.770383	0.987529	0.987529	0.987529	0.987529	0.987529	0.366983	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529	0.987529
MA0320.1	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.657556	0.221119	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.48674	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	4.12894e-13	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.657556	0.958512	0.958512	0.958512	0.958512	0.958512	0.245641	0.0187343	0.254611	0.958512	0.958512	0.958512	0.958512	0.958512	0.514687	0.170517	0.194275	0.958512	0.641403	0.958512	0.958512	0.958512	0.129041	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.740512	0.958512	0.958512	0.245641	0.958512	0.958512	0.958512	0.958512	0.201754	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.11995	0.958512	0.0714155	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.129041	0.514687	0.958512	0.514687	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.958512	0.026797	0.958512	0.958512
