motif_id	tf_name	tf_class	tf_family	auc_roc	auc_prc	p_value_roc	p_value_prc	p_value_roc_adj	p_value_prc_adj
IRF4.H12CORE.0.P.B	IRF4	Tryptophan cluster factors	IRF	0.7151771374586687	0.7586878719900564	9.999000099990002e-05	9.999000099990002e-05	0.006011898810118988	0.005771422857714229
IRF8.H12CORE.0.P.B	IRF8	Tryptophan cluster factors	IRF	0.7029026924893725	0.7502681105019612	9.999000099990002e-05	9.999000099990002e-05	0.006011898810118988	0.005771422857714229
STAT1.H12CORE.1.P.B	STAT1	STAT domain factors	STAT	0.6912942843646707	0.7523400808259426	9.999000099990002e-05	9.999000099990002e-05	0.006011898810118988	0.005771422857714229
STAT2.H12CORE.0.P.B	STAT2	STAT domain factors	STAT	0.6902550779404852	0.7504787545705226	9.999000099990002e-05	9.999000099990002e-05	0.006011898810118988	0.005771422857714229
IRF1.H12CORE.0.P.B	IRF1	Tryptophan cluster factors	IRF	0.6893150684931527	0.7490045551314909	9.999000099990002e-05	9.999000099990002e-05	0.006011898810118988	0.005771422857714229
IRF2.H12CORE.0.PSM.A	IRF2	Tryptophan cluster factors	IRF	0.6829026924893749	0.7445502488251807	9.999000099990002e-05	9.999000099990002e-05	0.006011898810118988	0.005771422857714229
IRF9.H12CORE.0.PSM.A	IRF9	Tryptophan cluster factors	IRF	0.6730302314596159	0.7383716806974685	9.999000099990002e-05	9.999000099990002e-05	0.006011898810118988	0.005771422857714229
IRF8.H12CORE.2.SM.B	IRF8	Tryptophan cluster factors	IRF	0.671152574397734	0.7296885776204137	9.999000099990002e-05	9.999000099990002e-05	0.006011898810118988	0.005771422857714229
IRF7.H12CORE.1.SM.B	IRF7	Tryptophan cluster factors	IRF	0.669376476145492	0.7249593091223842	9.999000099990002e-05	9.999000099990002e-05	0.006011898810118988	0.005771422857714229
IRF4.H12CORE.1.S.B	IRF4	Tryptophan cluster factors	IRF	0.665826641473785	0.7065606960626161	9.999000099990002e-05	9.999000099990002e-05	0.006011898810118988	0.005771422857714229
IRF8.H12CORE.1.SM.B	IRF8	Tryptophan cluster factors	IRF	0.665486537553142	0.7316840539651236	9.999000099990002e-05	9.999000099990002e-05	0.006011898810118988	0.005771422857714229
IRF5.H12CORE.0.SM.B	IRF5	Tryptophan cluster factors	IRF	0.6648582900330664	0.7098767833061764	9.999000099990002e-05	9.999000099990002e-05	0.006011898810118988	0.005771422857714229
IRF3.H12CORE.0.PS.A	IRF3	Tryptophan cluster factors	IRF	0.6610250354274922	0.711991113384612	9.999000099990002e-05	9.999000099990002e-05	0.006011898810118988	0.005771422857714229
PRDM1.H12CORE.1.PS.A	PRDM1	C2H2 zinc finger factors	More than 3 adjacent zinc fingers	0.6561100614076545	0.6662868369037311	9.999000099990002e-05	9.999000099990002e-05	0.006011898810118988	0.005771422857714229
PRDM1.H12CORE.0.S.B	PRDM1	C2H2 zinc finger factors	More than 3 adjacent zinc fingers	0.6496457250826679	0.658475576549148	9.999000099990002e-05	9.999000099990002e-05	0.006011898810118988	0.005771422857714229
IRF4.H12CORE.2.SM.B	IRF4	Tryptophan cluster factors	IRF	0.6435758148323116	0.6854367082270776	9.999000099990002e-05	9.999000099990002e-05	0.006011898810118988	0.005771422857714229
IRF6.H12CORE.1.S.C	IRF6	Tryptophan cluster factors	IRF	0.632064241851679	0.6814559736041298	9.999000099990002e-05	9.999000099990002e-05	0.006011898810118988	0.005771422857714229
IRF7.H12CORE.0.S.B	IRF7	Tryptophan cluster factors	IRF	0.6240056683986791	0.6456241958893326	9.999000099990002e-05	9.999000099990002e-05	0.006011898810118988	0.005771422857714229
IRF6.H12CORE.0.SM.B	IRF6	Tryptophan cluster factors	IRF	0.6211927255550331	0.6378483472051274	9.999000099990002e-05	9.999000099990002e-05	0.006011898810118988	0.005771422857714229
IRF3.H12CORE.1.SM.B	IRF3	Tryptophan cluster factors	IRF	0.6099622106754868	0.6155913413678129	9.999000099990002e-05	9.999000099990002e-05	0.006011898810118988	0.005771422857714229
ZN418.H12CORE.0.P.B	ZNF418	C2H2 zinc finger factors	Multiple dispersed zinc fingers	0.6002928672650006	0.568773104700358	0.00019998000199980003	0.0011998800119988001	0.010306112245918266	0.0332966703329667
FOSB.H12CORE.0.P.B	FOSB	Basic leucine zipper factors (bZIP)	Fos-related	0.599090694378839	0.5745847200545416	0.00019998000199980003	0.000999900009999	0.010306112245918266	0.03005949405059494
FOSL1.H12CORE.0.P.B	FOSL1	Basic leucine zipper factors (bZIP)	Fos-related	0.5983325460557407	0.5781030874078934	0.00019998000199980003	0.00029997000299970003	0.010306112245918266	0.013963119817050553
MAFB.H12CORE.1.P.B	MAFB	Basic leucine zipper factors (bZIP)	Maf-related	0.5975649504015149	0.5638488373201895	0.00019998000199980003	0.0033996600339966003	0.010306112245918266	0.06510446516323977
NFE2.H12CORE.1.SM.B	NFE2	Basic leucine zipper factors (bZIP)	Jun-related	0.5939064714218248	0.5966152828642858	9.999000099990002e-05	9.999000099990002e-05	0.006011898810118988	0.005771422857714229
IRF5.H12CORE.1.S.B	IRF5	Tryptophan cluster factors	IRF	0.5912281530467648	0.6101708005117326	0.00029997000299970003	9.999000099990002e-05	0.014428557144285571	0.005771422857714229
STAT1.H12CORE.0.P.B	STAT1	STAT domain factors	STAT	0.5895087387812956	0.6105890374626054	9.999000099990002e-05	9.999000099990002e-05	0.006011898810118988	0.005771422857714229
ZN112.H12CORE.0.P.C	ZNF112	C2H2 zinc finger factors	Multiple dispersed zinc fingers	0.5892442135096851	0.5638539442694342	9.999000099990002e-05	0.0017998200179982	0.006011898810118988	0.039350610393506104
TAL1.H12CORE.1.P.B	TAL1	Basic helix-loop-helix factors (bHLH)	Tal-related	0.5877066603684487	0.5721639652433241	0.0005999400059994001	0.0010998900109989002	0.02164283571642836	0.0323906384871717
PTF1A.H12CORE.1.PS.A	PTF1A	Basic helix-loop-helix factors (bHLH)	Tal-related	0.5863462446858776	0.5617069721870941	9.999000099990002e-05	0.0035996400359964	0.006011898810118988	0.06510446516323977
JUND.H12CORE.0.PM.A	JUND	Basic leucine zipper factors (bZIP)	Jun-related	0.5851464336325016	0.5755568663547554	0.00029997000299970003	0.0004999500049995	0.014428557144285571	0.02061222449183653
JUNB.H12CORE.0.PM.A	JUNB	Basic leucine zipper factors (bZIP)	Jun-related	0.5832191780821936	0.5674300210444609	0.0004999500049995	0.0013998600139986002	0.02061222449183653	0.03607139286071393
MYOD1.H12CORE.1.PSM.A	MYOD1	Basic helix-loop-helix factors (bHLH)	MyoD-ASC-related	0.5832073689182823	0.5530149231910707	0.0004999500049995	0.0081991800819918	0.02061222449183653	0.11161714017277517
ZIM3.H12CORE.0.P.B	ZIM3	C2H2 zinc finger factors	More than 3 adjacent zinc fingers	0.582683042040627	0.5775802888265882	0.0005999400059994001	0.00019998000199980003	0.02164283571642836	0.009950729065024533
NR6A1.H12CORE.0.P.C	NR6A1	Nuclear receptors with C4 zinc fingers	GCNF (NR6)	0.5826334435521985	0.56568008674419	0.0005999400059994001	0.0022997700229977	0.02164283571642836	0.048095190480951906
TCF21.H12CORE.0.PS.A	TCF21	Basic helix-loop-helix factors (bHLH)	Tal-related	0.5816131317902724	0.5643529840496628	0.0004999500049995	0.0014998500149985001	0.02061222449183653	0.03796988722180413
HAND1.H12CORE.1.P.B	HAND1	Basic helix-loop-helix factors (bHLH)	Tal-related	0.5814147378365632	0.5372879550482231	0.0005999400059994001	0.05019498050194981	0.02164283571642836	0.28461036249316246
ATOH8.H12CORE.0.P.C	ATOH8	Basic helix-loop-helix factors (bHLH)	Tal-related	0.5808006613131801	0.568492576740872	0.0007999200079992001	0.0016998300169983002	0.025650768256507687	0.03832585491450855
COE3.H12CORE.0.P.B	EBF3	Rel homology region (RHR) factors	EBF-related	0.5804227680680222	0.5748602957543459	0.0006999300069993001	0.00019998000199980003	0.023488348839534653	0.009950729065024533
FOSL2.H12CORE.0.P.B	FOSL2	Basic leucine zipper factors (bZIP)	Fos-related	0.5802456306093541	0.5688331999373412	0.0006999300069993001	0.0015998400159984002	0.023488348839534653	0.03832585491450855
ZSC21.H12CORE.0.P.C	ZSCAN21	C2H2 zinc finger factors	More than 3 adjacent zinc fingers	0.5798086915446423	0.5436824752927886	0.0004999500049995	0.020997900209979003	0.02061222449183653	0.18575687341445496
PTF1A.H12CORE.0.P.B	PTF1A	Basic helix-loop-helix factors (bHLH)	Tal-related	0.579669343410488	0.5739966607673338	0.0006999300069993001	9.999000099990002e-05	0.023488348839534653	0.005771422857714229
COE1.H12CORE.0.P.B	EBF1	Rel homology region (RHR) factors	EBF-related	0.5796315540859706	0.5709709426888464	0.0013998600139986002	0.0011998800119988001	0.033666633336666335	0.0332966703329667
PRDM4.H12CORE.0.PSM.A	PRDM4	C2H2 zinc finger factors	Multiple dispersed zinc fingers	0.5792158715162966	0.5668044311783005	0.0004999500049995	0.0016998300169983002	0.02061222449183653	0.03832585491450855
