motif_id	tf_name	tf_class	tf_family	auc_roc	auc_prc	p_value_roc	p_value_prc	p_value_roc_adj	p_value_prc_adj
JUN.H12CORE.0.P.B	JUN	Basic leucine zipper factors (bZIP)	Jun-related	0.5316663105603316	0.5482794372701005	0.07289271072892711	0.006399360063993601	0.6088350702502003	0.2552744725527447
BCL6.H12CORE.0.PSM.A	BCL6	C2H2 zinc finger factors	More than 3 adjacent zinc fingers	0.5316035468190807	0.5252747468858697	0.0735926407359264	0.08759124087591241	0.6101218449583612	0.5898340721483407
NFAC3.H12CORE.1.P.C	NFATC3	Rel homology region (RHR) factors	NFAT-related	0.5315995406228303	0.5246462588960075	0.0684931506849315	0.1202879712028797	0.6032179914538668	0.6826897076829281
ZN263.H12CORE.1.P.B	ZNF263	C2H2 zinc finger factors	More than 3 adjacent zinc fingers	0.5314205971903185	0.5109090684417514	0.07189281071892811	0.2726727327267273	0.6088350702502003	0.9009612737356402
ZN189.H12CORE.0.P.B	ZNF189	C2H2 zinc finger factors	More than 3 adjacent zinc fingers	0.5314152555953203	0.5185623617240885	0.072992700729927	0.15448455154484553	0.6088350702502003	0.7448384300642783
ZN132.H12CORE.0.P.C	ZNF132	C2H2 zinc finger factors	Multiple dispersed zinc fingers	0.5312536723465626	0.5045481507092366	0.07219278072192781	0.39276072392760725	0.6088350702502003	1.0
KAISO.H12CORE.0.P.B	ZBTB33	C2H2 zinc finger factors	Other with up to three adjacent zinc fingers	0.5312336413653117	0.5052477073140554	0.0750924907509249	0.3768623137686231	0.6121947127321167	0.9914405298600575
CEBPG.H12CORE.0.P.B	CEBPG	Basic leucine zipper factors (bZIP)	C/EBP-related	0.5310587041290525	0.5412660323695105	0.07749225077492251	0.017298270172982702	0.6212295437122956	0.330338018829696
ZFP91.H12CORE.0.P.C	ZFP91	C2H2 zinc finger factors	More than 3 adjacent zinc fingers	0.5309051332727922	0.5272424869972655	0.07849215078492151	0.0700929907009299	0.6257689148212251	0.5437859439862465
KLF11.H12CORE.1.SM.B	KLF11	C2H2 zinc finger factors	Three-zinc finger Kruppel-related	0.5308770898990423	0.531508666667452	0.0770922907709229	0.04709529047095291	0.6212295437122956	0.480951904809519
ZN770.H12CORE.0.P.B	ZNF770	C2H2 zinc finger factors	Multiple dispersed zinc fingers	0.5308236739490414	0.5118027406153587	0.08289171082891711	0.24897510248975102	0.6465553444655534	0.8776519511169449
ZN480.H12CORE.1.P.C	ZNF480	C2H2 zinc finger factors	More than 3 adjacent zinc fingers	0.5304617808877723	0.5247265085874286	0.07989201079892011	0.09469053094690531	0.633429514191438	0.6112812825860271
TF7L1.H12CORE.2.S.C	TCF7L1	High-mobility group (HMG) domain factors	TCF7-related	0.5302360984990115	0.5289425822870526	0.08499150084991501	0.0644935506449355	0.6508038669817228	0.5223298899160365
GLIS3.H12CORE.0.P.C	GLIS3	C2H2 zinc finger factors	More than 3 adjacent zinc fingers	0.530221409112762	0.5236467141337984	0.08459154084591541	0.10228977102289771	0.6508038669817228	0.6351031563510315
ZN766.H12CORE.1.P.B	ZNF766	C2H2 zinc finger factors	More than 3 adjacent zinc fingers	0.5301225896052549	0.5197005864499515	0.08149185081491851	0.1451854814518548	0.6390909822061273	0.7174748278596798
FEZF1.H12CORE.0.P.B	FEZF1	C2H2 zinc finger factors	More than 3 adjacent zinc fingers	0.5300344532877495	0.5131059221386752	0.0810918908109189	0.22877712228777122	0.6390909822061273	0.8756641577221588
ZN335.H12CORE.0.P.B	ZNF335	C2H2 zinc finger factors	Multiple dispersed zinc fingers	0.5299730249452488	0.5116229966745607	0.08449155084491551	0.2605739426057394	0.6508038669817228	0.8815209388152094
CEBPB.H12CORE.1.SM.B	CEBPB	Basic leucine zipper factors (bZIP)	C/EBP-related	0.5299049196089936	0.5492200199595405	0.07699230076992301	0.0045995400459954	0.6212295437122956	0.25116377251163774
ZNF24.H12CORE.0.P.B	ZNF24	C2H2 zinc finger factors	More than 3 adjacent zinc fingers	0.529778056727741	0.5167191465262807	0.0913908609139086	0.18168183181681832	0.6626985542651764	0.7875943174913278
