# Expression Atlas			
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 1 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-GEOD-48230			
# Timestamp: Fri, 22-Oct-2021 07:16:49			
geneName	Gene Name	log2FoldChange	padj
ENSG00000006837	CDKL3	-0.2	0.718305335998403
ENSG00000007047	MARK4	0.1	0.894974239548443
ENSG00000007080	CCDC124	0.3	0.24240962404844
ENSG00000007168	PAFAH1B1	-0.1	0.686165138522932
ENSG00000007202	KIAA0100	-0.1	0.748199654536867
ENSG00000007255	TRAPPC6A	0.1	0.87246407661778
ENSG00000007314	SCN4A	0.1	0.895959870910448
ENSG00000007341	ST7L	-0.1	0.786485981239215
ENSG00000007372	PAX6	-0.4	0.051862419787937
ENSG00000007384	RHBDF1	-0.2	0.556155279114451
ENSG00000007392	LUC7L	-0.1	0.641835489877555
ENSG00000007402	CACNA2D2	-0.2	0.67104270333265
ENSG00000007516	BAIAP3	0.1	0.690164707915704
ENSG00000007520	TSR3	0.3	0.296961039766041
ENSG00000007541	PIGQ	-0.2	0.605688646368861
ENSG00000007545	CRAMP1	0.1	0.767868152876152
ENSG00000007866	TEAD3	0.2	0.649738306200161
ENSG00000007923	DNAJC11	0.1	0.569393816324024
ENSG00000007944	MYLIP	0.2	0.661418292249836
ENSG00000007952	NOX1	-0.2	0.773669890779411
ENSG00000007968	E2F2	0.7	0.02786571786801
ENSG00000008018	PSMB1	0.1	0.587052983984139
ENSG00000008083	JARID2	-0.2	0.712507512033956
ENSG00000008086	CDKL5	-0.3	0.204426809587772
ENSG00000008118	CAMK1G	-0.2	0.788132021976162
ENSG00000008130	NADK	0.2	0.283655966934552
ENSG00000008226	DLEC1	0.1	0.906535671207457
ENSG00000008256	CYTH3	0.2	0.422367799003003
ENSG00000008277	ADAM22	-0.1	0.922589671624754
ENSG00000008282	SYPL1	0.1	0.783492650576625
ENSG00000008283	CYB561	0.2	0.515383387618026
ENSG00000008294	SPAG9	-0.2	0.438432551217396
ENSG00000008300	CELSR3	0.4	0.33547447158348
ENSG00000008311	AASS	-1.3	1.11064658320752E-06
ENSG00000008323	PLEKHG6	0.7	0.09171617120067
ENSG00000008382	MPND	0.2	0.452519344971928
ENSG00000008394	MGST1	0.3	0.239452777777761
ENSG00000008513	ST3GAL1	-0.8	0.001833727537654
ENSG00000008516	MMP25	-0.2	0.755462639822121
ENSG00000008517	IL32	0.7	0.049911248585803
ENSG00000008735	MAPK8IP2	-0.2	0.755637787027618
ENSG00000008838	MED24	-0.2	0.175738888745648
ENSG00000008853	RHOBTB2	-0.1	0.794432670643477
ENSG00000008952	SEC62	-0.1	0.832232725857969
ENSG00000009335	UBE3C	0.2	0.302472640292436
ENSG00000009413	REV3L	0.1	0.718305335998403
ENSG00000009694	TENM1	-1.4	1.18723067655902E-05
ENSG00000009724	MASP2	-0.4	0.463130740738836
ENSG00000009780	FAM76A	0.2	0.442003191365952
ENSG00000009844	VTA1	0.1	0.877162477339836
ENSG00000009950	MLXIPL	1.1	0.001404329955266
ENSG00000010165	EEF1AKNMT	-0.1	0.856652996085058
ENSG00000010244	ZNF207	0.1	0.769932075850361
ENSG00000010256	UQCRC1	0.2	0.437350073311571
ENSG00000010270	STARD3NL	-0.2	0.461999270210719
ENSG00000010278	CD9	-0.1	0.821782354217272
ENSG00000010292	NCAPD2	0.2	0.410739033697204
ENSG00000010295	IFFO1	-0.7	0.028270575133146
ENSG00000010310	GIPR	0.3	0.567705056401748
ENSG00000010318	PHF7	0.3	0.449202459103054
ENSG00000010319	SEMA3G	-0.4	0.483103433422211
ENSG00000010322	NISCH	-0.1	0.520666888405625
ENSG00000010361	FUZ	-0.2	0.686575207152424
ENSG00000010404	IDS	-0.1	0.804755254838736
ENSG00000010438	PRSS3	-0.2	0.348359788437325
ENSG00000010539	ZNF200	-0.1	0.917299857658774
ENSG00000010803	SCMH1	0.2	0.379362210275711
ENSG00000010818	HIVEP2	-0.5	0.164056706816714
ENSG00000011021	CLCN6	0.1	0.714238596025738
ENSG00000011028	MRC2	-0.8	0.001404329955266
ENSG00000011052	NME1-NME2	0.2	0.795880861651413
ENSG00000011105	TSPAN9	-0.4	0.063412063791227
ENSG00000011114	BTBD7	-0.2	0.541857976229783
ENSG00000011132	APBA3	0.1	0.828959417751674
ENSG00000011201	ANOS1	0.2	0.608748125357544
ENSG00000011243	AKAP8L	0.2	0.521974219134432
ENSG00000011258	MBTD1	-0.1	0.852279409801923
ENSG00000011260	UTP18	0.2	0.298418159500425
ENSG00000011295	TTC19	0.2	0.519778441419088
ENSG00000011332	DPF1	-0.1	0.75491839135844
ENSG00000011347	SYT7	0.9	9.57884801235651E-05
ENSG00000011376	LARS2	0.1	0.821911719989172
ENSG00000011405	PIK3C2A	-0.1	0.827023927069848
ENSG00000011422	PLAUR	-0.4	0.0788599422402
ENSG00000011426	ANLN	0.2	0.606378881127542
ENSG00000011451	WIZ	-0.1	0.775353540243356
ENSG00000011478	QPCTL	0.3	0.281308423086858
ENSG00000011485	PPP5C	0.2	0.465800544448437
ENSG00000011566	MAP4K3	-0.1	0.670160844137754
ENSG00000011638	TMEM159	0.3	0.458803307964819
ENSG00000011677	GABRA3	-0.5	0.227546505656889
ENSG00000012048	BRCA1	0.2	0.631222042644075
ENSG00000012061	ERCC1	-0.2	0.341777321068399
ENSG00000012124	CD22	-0.3	0.535838604006129
ENSG00000012171	SEMA3B	0.3	0.301086043352009
ENSG00000012211	PRICKLE3	0.3	0.05592837875243
ENSG00000012232	EXTL3	-0.1	0.813119245187289
ENSG00000012660	ELOVL5	-0.1	0.714791500003876
ENSG00000012822	CALCOCO1	-0.3	0.159719151553166
ENSG00000012963	UBR7	-0.2	0.737569322630636
ENSG00000012983	MAP4K5	0.1	0.575790571469014
ENSG00000013016	EHD3	-0.4	0.149825539636367
ENSG00000013297	CLDN11	0.2	0.610888337048155
ENSG00000013306	SLC25A39	0.2	0.208637979950517
ENSG00000013364	MVP	-0.3	0.240303616615143
ENSG00000013374	NUB1	0.1	0.605899751137384
ENSG00000013375	PGM3	-0.2	0.360844192593929
ENSG00000013392	RWDD2A	-0.4	0.245312510273246
ENSG00000013441	CLK1	-0.2	0.381157339573101
ENSG00000013523	ANGEL1	0.4	0.035488951492243
ENSG00000013561	RNF14	-0.2	0.510290796753803
ENSG00000013563	DNASE1L1	0.2	0.504997970445832
ENSG00000013573	DDX11	0.5	0.033371415237543
ENSG00000013583	HEBP1	0.3	0.30818219022681
ENSG00000013588	GPRC5A	0.5	0.278453222554776
ENSG00000013619	MAMLD1	-0.1	0.932818234206192
ENSG00000013810	TACC3	0.2	0.467391455863904
ENSG00000014138	POLA2	0.1	0.784826907491187
ENSG00000014164	ZC3H3	0.1	0.748918839672783
