motif_id	tf_name	tf_class	tf_family	auc_roc	auc_prc	p_value_roc	p_value_prc	p_value_roc_adj	p_value_prc_adj
PBX1.H12CORE.2.P.B	PBX1	Homeo domain factors	TALE-type HD	0.5064029286726517	0.49816855709238	0.4082591740825917	0.5318468153184681	0.7426090515164293	0.8701303339053849
GLI2.H12CORE.0.PSM.A	GLI2	C2H2 zinc finger factors	More than 3 adjacent zinc fingers	0.5063958431743052	0.4862624723991838	0.40315968403159685	0.7390260973902609	0.7420400817061151	1.0
ZF69B.H12CORE.0.P.C	ZFP69B	C2H2 zinc finger factors	More than 3 adjacent zinc fingers	0.5063037316957978	0.5090336702167977	0.40175982401759824	0.32556744325567444	0.7413293153443276	0.6854616287642372
HXC4.H12CORE.0.SM.B	HOXC4	Homeo domain factors	HOX-related	0.5062895606991031	0.4939837190077645	0.4016598340165983	0.5941405859414058	0.7413293153443276	0.9179281215347415
ZN417.H12CORE.0.P.C	ZNF417	C2H2 zinc finger factors	Multiple dispersed zinc fingers	0.5062423240434594	0.4965283591860781	0.40555944405559446	0.5514448555144486	0.7426090515164293	0.8851333998969402
LBX2.H12CORE.0.S.B	LBX2	Homeo domain factors	NK-related	0.5061903637222492	0.527489523663945	0.40545945405459455	0.09569043095690431	0.7426090515164293	0.393096201743462
BSH.H12CORE.0.SM.B	BSX	Homeo domain factors	NK-related	0.5061880018894673	0.49773126038813625	0.39776022397760225	0.5196480351964804	0.7396494886593815	0.8600940593225901
GBX1.H12CORE.0.S.B	GBX1	Homeo domain factors	HOX-related	0.5061691072272085	0.5062028426393496	0.4056594340565943	0.37106289371062895	0.7426090515164293	0.722596161436488
RBAK.H12CORE.0.P.C	RBAK	C2H2 zinc finger factors	More than 3 adjacent zinc fingers	0.5061549362305159	0.5293585610346428	0.4082591740825917	0.0832916708329167	0.7426090515164293	0.36028193587826846
ZN449.H12CORE.1.S.C	ZNF449	C2H2 zinc finger factors	More than 3 adjacent zinc fingers	0.5060604629192265	0.5053505441588946	0.39986001399860016	0.38436156384361564	0.7413293153443276	0.7344059244869164
HNF4A.H12CORE.0.PSM.A	HNF4A	Nuclear receptors with C4 zinc fingers	RXR-related receptors	0.5060014170996703	0.510888202290884	0.41105889411058893	0.29087091290870914	0.7432783630272768	0.6404871707951156
FOXI1.H12CORE.0.SM.B	FOXI1	Fork head/winged helix factors	FOX	0.5059919697685406	0.4870668007846859	0.40745925407459255	0.728027197280272	0.7426090515164293	1.0
ZN502.H12CORE.0.P.C	ZNF502	C2H2 zinc finger factors	More than 3 adjacent zinc fingers	0.5059376476145493	0.5037679104368092	0.40635936406359363	0.41625837416258377	0.7426090515164293	0.7637247696550142
HXB5.H12CORE.0.SM.B	HOXB5	Homeo domain factors	HOX-related	0.5059282002834218	0.49047087467050815	0.40755924407559246	0.6674332566743326	0.7426090515164293	0.9679459189759416
DRGX.H12CORE.1.SM.B	DRGX	Homeo domain factors	Paired-related HD	0.5056991025035437	0.506660360300974	0.40755924407559246	0.3611638836116388	0.7426090515164293	0.7148964115934086
LHX8.H12CORE.0.S.B	LHX8	Homeo domain factors	HD-LIM	0.5056920170051966	0.5064740758202666	0.41005899410058994	0.36926307369263073	0.7426090515164293	0.7220143839274609
HXB9.H12CORE.0.S.C	HOXB9	Homeo domain factors	HOX-related	0.505689655172416	0.5142730857864533	0.42015798420157985	0.25917408259174085	0.7522183265544413	0.6091013048532281
TBX4.H12CORE.1.S.B	TBX4	T-Box factors	TBX2-related	0.5055668398677384	0.5099867714581987	0.41015898410158985	0.30556944305569445	0.7426090515164293	0.6590982157389642
GATA2.H12CORE.1.P.B	GATA2	Other C4 zinc finger-type factors	C4-GATA-related	0.5055573925366088	0.515720819420589	0.41645835416458354	0.22207779222077792	0.7493134726427607	0.5687447128303044
HNF6.H12CORE.2.S.B	ONECUT1	Homeo domain factors	HD-CUT	0.5055550307038267	0.5134610699563062	0.41155884411558846	0.2525747425257474	0.7432783630272768	0.6004371556254589
