id,log2FoldChange,padj
ENSG00000010244,0.1,0.769932076
ENSG00000010256,0.2,0.437350073
ENSG00000010270,-0.2,0.46199927
ENSG00000010278,-0.1,0.821782354
ENSG00000010292,0.2,0.410739034
ENSG00000010295,-0.7,0.028270575
ENSG00000010310,0.3,0.567705056
ENSG00000010318,0.3,0.449202459
ENSG00000010319,-0.4,0.483103433
ENSG00000010322,-0.1,0.520666888
ENSG00000010361,-0.2,0.686575207
ENSG00000010404,-0.1,0.804755255
ENSG00000010438,-0.2,0.348359788
ENSG00000010539,-0.1,0.917299858
ENSG00000010803,0.2,0.37936221
ENSG00000010818,-0.5,0.164056707
ENSG00000011021,0.1,0.714238596
ENSG00000011028,-0.8,0.00140433
ENSG00000011052,0.2,0.795880862
ENSG00000011105,-0.4,0.063412064
ENSG00000011114,-0.2,0.541857976
ENSG00000011132,0.1,0.828959418
ENSG00000011201,0.2,0.608748125
ENSG00000011243,0.2,0.521974219
ENSG00000011258,-0.1,0.85227941
ENSG00000011260,0.2,0.29841816
ENSG00000011295,0.2,0.519778441
ENSG00000011332,-0.1,0.754918391
ENSG00000011347,0.9,9.58E-05
ENSG00000011376,0.1,0.82191172
ENSG00000011405,-0.1,0.827023927
ENSG00000011422,-0.4,0.078859942
ENSG00000011426,0.2,0.606378881
ENSG00000011451,-0.1,0.77535354
ENSG00000011478,0.3,0.281308423
ENSG00000011485,0.2,0.465800544
ENSG00000011566,-0.1,0.670160844
ENSG00000011638,0.3,0.458803308
ENSG00000011677,-0.5,0.227546506
ENSG00000012048,0.2,0.631222043
ENSG00000012061,-0.2,0.341777321
ENSG00000012124,-0.3,0.535838604
ENSG00000012171,0.3,0.301086043
ENSG00000012211,0.3,0.055928379
ENSG00000012232,-0.1,0.813119245
ENSG00000012660,-0.1,0.7147915
ENSG00000012822,-0.3,0.159719152
ENSG00000012963,-0.2,0.737569323
ENSG00000012983,0.1,0.575790571
ENSG00000013016,-0.4,0.14982554
ENSG00000013297,0.2,0.610888337
ENSG00000013306,0.2,0.20863798
ENSG00000013364,-0.3,0.240303617
ENSG00000013374,0.1,0.605899751
ENSG00000013375,-0.2,0.360844193
ENSG00000013392,-0.4,0.24531251
ENSG00000013441,-0.2,0.38115734
ENSG00000013523,0.4,0.035488951
ENSG00000013561,-0.2,0.510290797
ENSG00000013563,0.2,0.50499797
ENSG00000013573,0.5,0.033371415
ENSG00000013583,0.3,0.30818219
ENSG00000013588,0.5,0.278453223
ENSG00000013619,-0.1,0.932818234
ENSG00000013810,0.2,0.467391456
ENSG00000014138,0.1,0.784826907
ENSG00000014164,0.1,0.74891884
ENSG00000014641,0.1,0.513242121
ENSG00000014824,-0.1,0.630883304
ENSG00000014914,-0.2,0.610885258
ENSG00000014919,-0.1,0.731384734
ENSG00000015133,0.4,0.078725125
ENSG00000015285,-0.1,0.953474772
ENSG00000015475,0.5,0.078001862
ENSG00000015479,-0.1,0.781188119
ENSG00000015532,0.1,0.785171718
ENSG00000015676,0.1,0.698777035
ENSG00000016082,-0.3,0.564519298
ENSG00000016402,0.7,0.012366738
ENSG00000016864,-0.1,0.838989884
ENSG00000017260,0.2,0.221908917
ENSG00000017797,0.2,0.501989536
ENSG00000018189,0.2,0.619527951
ENSG00000018236,-0.5,0.032375717
ENSG00000018280,-0.2,0.76002168
ENSG00000018510,0.1,0.708237268
ENSG00000018625,0.5,0.157577639
ENSG00000018699,0.4,0.095443539
ENSG00000019102,-0.5,0.313028889
ENSG00000019144,-0.2,0.422133638
ENSG00000019169,0.9,0.012973368
ENSG00000019186,-0.1,0.878548406
