motif_id	tf_name	tf_class	tf_family	jaspar_cluster	auc_roc	auc_prc	p_value_roc	p_value_prc	p_value_roc_adj	p_value_prc_adj
MA1197.2	CAMTA1	GCM domain factors	CAMTA	cluster_07	0.5591314176988186	0.5481023897326575	0.000999000999000999	0.000999000999000999	0.0206010206010206	0.024588314910895557
MA0937.1	NAC055	GCM domain factors	NAC	cluster_20	0.5503618126099068	0.546618296034925	0.000999000999000999	0.000999000999000999	0.0206010206010206	0.024588314910895557
MA2105.1	GLYMA-13G317000	Basic leucine zipper factors (bZIP)	Group A	cluster_07	0.5491427046611336	0.6329083652541297	0.000999000999000999	0.000999000999000999	0.0206010206010206	0.024588314910895557
MA1787.2	NAC047	GCM domain factors	NAC	cluster_20	0.5486579950973823	0.5415555732928528	0.000999000999000999	0.000999000999000999	0.0206010206010206	0.024588314910895557
MA1686.1	ARF13	B3	ARF	cluster_01	0.548401013671976	0.539709764833018	0.000999000999000999	0.000999000999000999	0.0206010206010206	0.024588314910895557
MA0969.2	CAMTA2	GCM domain factors	CAMTA	cluster_07	0.5465575593642839	0.5581370267031159	0.000999000999000999	0.000999000999000999	0.0206010206010206	0.024588314910895557
MA1785.2	NAC018	GCM domain factors	NAC	cluster_20	0.5451655835492111	0.5387704606193656	0.000999000999000999	0.000999000999000999	0.0206010206010206	0.024588314910895557
MA0970.2	CAMTA3	GCM domain factors	CAMTA	cluster_07	0.544951860525631	0.5580162931113518	0.000999000999000999	0.000999000999000999	0.0206010206010206	0.024588314910895557
MA0565.3	FUS3	B3	LAV	cluster_29	0.5411609494307621	0.5873177823437055	0.000999000999000999	0.001998001998001998	0.0206010206010206	0.0412020412020412
MA1695.2	ARF36	B3	ARF	cluster_01	0.539177609716398	0.5389817283190153	0.000999000999000999	0.000999000999000999	0.0206010206010206	0.024588314910895557
MA0962.2	bHLH34	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5381420599286315	0.5252877360432708	0.000999000999000999	0.026973026973026972	0.0206010206010206	0.1715034965034965
MA1696.2	ARF39	B3	ARF	cluster_01	0.5380794926999384	0.5364525962395682	0.000999000999000999	0.000999000999000999	0.0206010206010206	0.024588314910895557
MA1687.1	ARF14	B3	ARF	cluster_01	0.5365277425578151	0.5234777188502177	0.000999000999000999	0.000999000999000999	0.0206010206010206	0.024588314910895557
MA1685.2	ARF10	B3	ARF	cluster_01	0.5362449055359158	0.5341900912590045	0.001998001998001998	0.000999000999000999	0.02583856821144957	0.024588314910895557
MA1786.2	NAC019	GCM domain factors	NAC	cluster_20	0.5360791645327512	0.5430839023689636	0.000999000999000999	0.000999000999000999	0.0206010206010206	0.024588314910895557
MA1690.2	ARF25	B3	ARF	cluster_01	0.5349486451501664	0.5407673694428575	0.000999000999000999	0.000999000999000999	0.0206010206010206	0.024588314910895557
MA2397.1	ILR3	Basic helix-loop-helix factors (bHLH)	NA	cluster_07	0.5346203122229017	0.5693089368814218	0.000999000999000999	0.02197802197802198	0.0206010206010206	0.15384615384615385
MA1156.2	JKD	C2H2 zinc finger factors	IDD	cluster_08	0.5344405661049711	0.5251255137255452	0.000999000999000999	0.004995004995004995	0.0206010206010206	0.0747291923762512
MA1362.2	bHLH77	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.533053313908488	0.5193659715896607	0.001998001998001998	0.012987012987012988	0.02583856821144957	0.11474546958417928
MA0935.1	NAC025	GCM domain factors	NAC	cluster_20	0.5330461041748501	0.5310606468977429	0.000999000999000999	0.003996003996003996	0.0206010206010206	0.06487129891385211
MA1043.2	NAC083	GCM domain factors	NAC	cluster_20	0.532269358963522	0.5399955044009478	0.000999000999000999	0.006993006993006993	0.0206010206010206	0.08336975524475525
MA0936.1	NAC046	GCM domain factors	NAC	cluster_20	0.5318961930948987	0.5391277507487218	0.000999000999000999	0.000999000999000999	0.0206010206010206	0.024588314910895557
MA2447.1	SPL5B	C3H(C),C2HC zinc-fingers like factors	SBP	cluster_33	0.53188318242615	0.5579016221353204	0.001998001998001998	0.007992007992007992	0.02583856821144957	0.08837539272321882
MA0939.1	NAC079	GCM domain factors	NAC	cluster_20	0.5315649597000753	0.536801824106443	0.001998001998001998	0.001998001998001998	0.02583856821144957	0.0412020412020412
MA1320.2	SPL15	C3H(C),C2HC zinc fingers factors	SBP	cluster_28	0.5314827521625055	0.5325713171796527	0.001998001998001998	0.000999000999000999	0.02583856821144957	0.024588314910895557
MA1025.2	HBI1	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5313576177051169	0.5297296962030925	0.000999000999000999	0.022977022977022976	0.0206010206010206	0.15653096903096902
MA1317.2	WRKY50	GCM domain factors	WRKY	cluster_10	0.5310250583822679	0.553011460633284	0.000999000999000999	0.000999000999000999	0.0206010206010206	0.024588314910895557
MA1055.3	SPL1	C3H(C),C2HC zinc fingers factors	SBP	cluster_28	0.5307067527856918	0.5339487517218747	0.000999000999000999	0.000999000999000999	0.0206010206010206	0.024588314910895557
MA1834.2	Zm00001d034298	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.530593303069026	0.5345223248116291	0.000999000999000999	0.000999000999000999	0.0206010206010206	0.024588314910895557
MA0966.2	BIM3	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5305401002070106	0.5666847452965618	0.000999000999000999	0.03696303696303696	0.0206010206010206	0.20289782160285755
MA1056.2	SPL11	C3H(C),C2HC zinc fingers factors	SBP	cluster_28	0.530333421176065	0.5347764889356047	0.001998001998001998	0.000999000999000999	0.02583856821144957	0.024588314910895557
MA0562.1	PIF5	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5300891189374012	0.5261030065814933	0.002997002997002997	0.013986013986013986	0.03132483954401762	0.11474546958417928
MA2087.1	PK24205.1	Basic leucine zipper factors (bZIP)	Group A	cluster_07	0.5297418915357729	0.5212676906075246	0.000999000999000999	0.028971028971028972	0.0206010206010206	0.1740542921645284
MA0941.2	ABF2	Basic leucine zipper factors (bZIP)	Group A	cluster_07	0.5296727775374531	0.5416366671690956	0.000999000999000999	0.00999000999000999	0.0206010206010206	0.09772279003048234
MA1810.2	GLYMA-08G357600	B3	LAV	cluster_29	0.5295033073617186	0.5367559539127809	0.001998001998001998	0.000999000999000999	0.02583856821144957	0.024588314910895557
MA0965.3	BIM2	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5293770127173073	0.5668502856055291	0.002997002997002997	0.04095904095904096	0.03132483954401762	0.21259692688264117
MA0586.3	SPL14	C3H(C),C2HC zinc fingers factors	SBP	cluster_28	0.5293719576167109	0.5361866087713689	0.000999000999000999	0.000999000999000999	0.0206010206010206	0.024588314910895557
MA2104.1	IDD11	C2H2 zinc finger factors	IDD	cluster_08	0.5293575381494363	0.5232424155445975	0.001998001998001998	0.002997002997002997	0.02583856821144957	0.05197075651621106
MA2396.1	IDD1	C2H2 zinc finger factors	IDD	cluster_08	0.5292558560439942	0.5230242112895696	0.001998001998001998	0.005994005994005994	0.02583856821144957	0.0775157046343487
MA1412.2	TSAR2	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5290664969478797	0.5216732673625613	0.000999000999000999	0.00999000999000999	0.0206010206010206	0.09772279003048234
MA2382.1	e_gw1.209.40.1	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.529016857517432	0.5655774645691285	0.000999000999000999	0.04595404595404595	0.0206010206010206	0.22476241707010938
MA0988.2	PHYPADRAFT_143875	Basic helix-loop-helix factors (bHLH)	NA	cluster_07	0.5289935709064874	0.5655713516044991	0.001998001998001998	0.054945054945054944	0.02583856821144957	0.2409372236958444
MA1822.2	Zm00001d018571	Basic leucine zipper factors (bZIP)	NA	cluster_28	0.5288668619095688	0.5251226474338236	0.001998001998001998	0.006993006993006993	0.02583856821144957	0.08336975524475525
MA0960.1	BHLH104	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5283028452757992	0.5076640505050064	0.001998001998001998	0.1998001998001998	0.02583856821144957	0.43958598219961853
MA1291.1	TCP7	TCP	NA	cluster_01	0.5281496177183757	0.5273912997549106	0.001998001998001998	0.000999000999000999	0.02583856821144957	0.024588314910895557
MA2348.1	IDD6	C2H2 zinc finger factors	IDD	cluster_08	0.5280924370722851	0.5209103972726561	0.000999000999000999	0.00999000999000999	0.0206010206010206	0.09772279003048234
MA2014.2	BAM8	Basic helix-loop-helix factors (bHLH)	BES/BZR	cluster_07	0.5280669129577957	0.5194500739191011	0.000999000999000999	0.011988011988011988	0.0206010206010206	0.11433566433566433
MA2393.1	PHYPA_008731	Basic helix-loop-helix factors (bHLH)	NA	cluster_07	0.5280227429804542	0.5279249767224057	0.002997002997002997	0.03296703296703297	0.03132483954401762	0.18771526980482203
MA0550.3	BZR1	Basic helix-loop-helix factors (bHLH)	BES/BZR	cluster_07	0.5279968873839613	0.5268410828139659	0.001998001998001998	0.000999000999000999	0.02583856821144957	0.024588314910895557
MA1059.3	SPL5	C3H(C),C2HC zinc fingers factors	SBP	cluster_28	0.5279757554060572	0.5287878753144113	0.001998001998001998	0.000999000999000999	0.02583856821144957	0.024588314910895557
MA2342.1	URI	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5276472567377863	0.5659914364406486	0.000999000999000999	0.04495504495504495	0.0206010206010206	0.22273181364090452
MA1021.2	PHYPADRAFT_48267	Basic helix-loop-helix factors (bHLH)	NA	cluster_07	0.5274821786986348	0.519673744968946	0.002997002997002997	0.07992007992007992	0.03132483954401762	0.2862864834695821
MA1382.2	FAR1	GCM domain factors	FRS/FRF	cluster_07	0.5274657703393221	0.5197957255781993	0.003996003996003996	0.013986013986013986	0.03673434998736204	0.11474546958417928
MA0974.3	CDF3	Other C4 zinc finger-type factors	DOF	cluster_03	0.5274177054484038	0.538506606431767	0.000999000999000999	0.025974025974025976	0.0206010206010206	0.16653934300993126
MA0943.2	ARF5	B3	ARF	cluster_15	0.527397485046018	0.52818287630143	0.002997002997002997	0.008991008991008992	0.03132483954401762	0.09527972027972029
MA1160.2	IDD6	C2H2 zinc finger factors	IDD	cluster_08	0.5273467682990487	0.5205980088611217	0.003996003996003996	0.008991008991008992	0.03673434998736204	0.09527972027972029
MA2406.1	PK03576.1	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5272377935894694	0.5258929454149379	0.001998001998001998	0.059940059940059943	0.02583856821144957	0.2458831491089556
MA2079.1	PK19717.1	TCP	NA	cluster_01	0.527223456992695	0.5271927831892529	0.000999000999000999	0.000999000999000999	0.0206010206010206	0.024588314910895557
MA2434.1	SPL16A	C3H(C),C2HC zinc-fingers like factors	SBP	cluster_38	0.5271805300728781	0.5137301582747217	0.001998001998001998	0.05194805194805195	0.02583856821144957	0.2393072044234835
MA2060.1	PK05451.1	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5271327966639652	0.5146983918581767	0.000999000999000999	0.04995004995004995	0.0206010206010206	0.2381993006993007
MA1062.3	TCP15	TCP	NA	cluster_01	0.5271091785710146	0.5258869505315522	0.002997002997002997	0.004995004995004995	0.03132483954401762	0.0747291923762512
MA2384.1	estExt_Genewise1.C_2060077	Basic leucine zipper factors (bZIP)	bZIP	cluster_07	0.5270942618807296	0.5370962549315303	0.003996003996003996	0.023976023976023976	0.03673434998736204	0.15907570690179387
MA1158.2	MGP	C2H2 zinc finger factors	IDD	cluster_08	0.5270345951195908	0.5232765550299893	0.003996003996003996	0.005994005994005994	0.03673434998736204	0.0775157046343487
MA1316.2	WRKY71	GCM domain factors	WRKY	cluster_10	0.5270121372136619	0.5232611445336021	0.002997002997002997	0.004995004995004995	0.03132483954401762	0.0747291923762512
MA0944.2	ARF8	B3	ARF	cluster_17	0.5268845995117268	0.5755207012030995	0.001998001998001998	0.001998001998001998	0.02583856821144957	0.0412020412020412
MA2389.1	GBF1	Basic leucine zipper factors (bZIP)	NA	cluster_07	0.5268286619231591	0.5290476919848042	0.004995004995004995	0.04495504495504495	0.042346542346542344	0.22273181364090452
MA1087.3	WRKY45	GCM domain factors	WRKY	cluster_10	0.5268252642325945	0.5275415295062081	0.000999000999000999	0.000999000999000999	0.0206010206010206	0.024588314910895557
MA1835.2	TFLG2-Zm00001d042777	Basic leucine zipper factors (bZIP)	Group D	cluster_28	0.5267337751988476	0.5260676247149195	0.001998001998001998	0.002997002997002997	0.02583856821144957	0.05197075651621106
MA1157.2	NUC	C2H2 zinc finger factors	IDD	cluster_08	0.5266842186389004	0.5230513665747053	0.002997002997002997	0.006993006993006993	0.03132483954401762	0.08336975524475525
