motif_id	tf_name	tf_class	tf_family	jaspar_cluster	auc_roc	auc_prc	p_value_roc	p_value_prc	p_value_roc_adj	p_value_prc_adj
MA0969.2	CAMTA2	GCM domain factors	CAMTA	cluster_07	0.5725824587706143	0.5701685584190965	0.000999000999000999	0.000999000999000999	0.009772279003048235	0.015244755244755244
MA0970.2	CAMTA3	GCM domain factors	CAMTA	cluster_07	0.5701307241116284	0.5671846783623813	0.000999000999000999	0.000999000999000999	0.009772279003048235	0.015244755244755244
MA0550.3	BZR1	Basic helix-loop-helix factors (bHLH)	BES/BZR	cluster_07	0.5651174412793585	0.5600128253047792	0.000999000999000999	0.000999000999000999	0.009772279003048235	0.015244755244755244
MA2397.1	ILR3	Basic helix-loop-helix factors (bHLH)	NA	cluster_07	0.5633834398590178	0.5955146492609011	0.000999000999000999	0.000999000999000999	0.009772279003048235	0.015244755244755244
MA0935.1	NAC025	GCM domain factors	NAC	cluster_20	0.5630043530866141	0.560478736979508	0.000999000999000999	0.000999000999000999	0.009772279003048235	0.015244755244755244
MA1197.2	CAMTA1	GCM domain factors	CAMTA	cluster_07	0.562421092085536	0.5552208715645605	0.000999000999000999	0.000999000999000999	0.009772279003048235	0.015244755244755244
MA1695.2	ARF36	B3	ARF	cluster_01	0.5621718745890197	0.5575334571212568	0.000999000999000999	0.000999000999000999	0.009772279003048235	0.015244755244755244
MA1786.2	NAC019	GCM domain factors	NAC	cluster_20	0.561874983560851	0.5608685851348366	0.000999000999000999	0.000999000999000999	0.009772279003048235	0.015244755244755244
MA1025.2	HBI1	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5602323838080957	0.5582048962489745	0.000999000999000999	0.000999000999000999	0.009772279003048235	0.015244755244755244
MA0962.2	bHLH34	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5601350640469238	0.549278854672862	0.000999000999000999	0.001998001998001998	0.009772279003048235	0.022093848180804704
MA0966.2	BIM3	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5600239354007206	0.5947012290441719	0.000999000999000999	0.000999000999000999	0.009772279003048235	0.015244755244755244
MA1332.2	BEH2	Basic helix-loop-helix factors (bHLH)	BES/BZR	cluster_07	0.5580367710881408	0.5524648034148955	0.000999000999000999	0.000999000999000999	0.009772279003048235	0.015244755244755244
MA1696.2	ARF39	B3	ARF	cluster_01	0.5576931928772445	0.5623326702964234	0.000999000999000999	0.000999000999000999	0.009772279003048235	0.015244755244755244
MA1091.1	WRKY62	GCM domain factors	WRKY	cluster_10	0.5574959230910861	0.5445720036881719	0.000999000999000999	0.001998001998001998	0.009772279003048235	0.022093848180804704
MA0941.2	ABF2	Basic leucine zipper factors (bZIP)	Group A	cluster_07	0.557305557747442	0.560397561564706	0.000999000999000999	0.001998001998001998	0.009772279003048235	0.022093848180804704
MA1333.2	BEH3	Basic helix-loop-helix factors (bHLH)	BES/BZR	cluster_07	0.5566167574107684	0.5467019854202849	0.000999000999000999	0.000999000999000999	0.009772279003048235	0.015244755244755244
MA1810.2	GLYMA-08G357600	B3	LAV	cluster_29	0.5565125332070804	0.5493892118552801	0.000999000999000999	0.000999000999000999	0.009772279003048235	0.015244755244755244
MA2014.2	BAM8	Basic helix-loop-helix factors (bHLH)	BES/BZR	cluster_07	0.5562797548594115	0.543366772817725	0.000999000999000999	0.001998001998001998	0.009772279003048235	0.022093848180804704
MA0965.3	BIM2	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5562304374128724	0.5924858432373279	0.000999000999000999	0.000999000999000999	0.009772279003048235	0.015244755244755244
MA1084.1	WRKY38	GCM domain factors	WRKY	cluster_10	0.555813211815145	0.5394606427555428	0.000999000999000999	0.001998001998001998	0.009772279003048235	0.022093848180804704
MA2067.1	PK09702.1	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5556165995949394	0.5400604661500039	0.000999000999000999	0.003996003996003996	0.009772279003048235	0.03278441988119408
MA1331.2	BEH4	Basic helix-loop-helix factors (bHLH)	BES/BZR	cluster_07	0.5552792682606059	0.5487147422871983	0.000999000999000999	0.000999000999000999	0.009772279003048235	0.015244755244755244
