motif_id	tf_name	tf_class	tf_family	jaspar_cluster	auc_roc	auc_prc	p_value_roc	p_value_prc	p_value_roc_adj	p_value_prc_adj
MA0988.2	PHYPADRAFT_143875	Basic helix-loop-helix factors (bHLH)	NA	cluster_07	0.5746704761672687	0.6025055924150453	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA2382.1	e_gw1.209.40.1	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5746573784706359	0.6025021379249843	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA2080.1	PK20225.1	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5714651956633423	0.6014462189388613	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA1061.2	SPT	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5713949859174373	0.5611106428837281	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA0569.2	MYC4	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5706570982408471	0.5582793624938066	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA0958.1	BHLH13	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5696699989643681	0.5453213210956294	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA0562.1	PIF5	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.568822456153176	0.5546046296026897	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA1351.3	GBF3	Basic leucine zipper factors (bZIP)	Group G	cluster_07	0.5670545717053195	0.5492249250491148	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA1025.2	HBI1	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5666671235630609	0.5552162676916628	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA2057.1	PK01630.1	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5665408170932053	0.5561514872641885	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA2067.1	PK09702.1	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5658946132930455	0.5405849922226519	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA0966.2	BIM3	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.565806990717896	0.59790479096166	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA0560.2	PIF3	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5656571794668728	0.556501510210633	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA0960.1	BHLH104	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5653136949109858	0.5388505847854996	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA0561.1	PIF4	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5641374912935853	0.5440095121251349	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA0581.2	LEC2	B3	LAV	cluster_29	0.5641105851725952	0.6299788111680443	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA1811.2	GLYMA-13G317000	Basic leucine zipper factors (bZIP)	Group A	cluster_07	0.5640454012870258	0.5534487075888015	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA0566.1	MYC2	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5635622079670541	0.5428366718234034	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA2397.1	ILR3	Basic helix-loop-helix factors (bHLH)	NA	cluster_07	0.563528549932684	0.5955103324256409	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA2061.1	PK06517.1	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5630900309268092	0.552060894314608	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA0957.1	BHLH3	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5630128662024599	0.5427134636851634	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA2060.1	PK05451.1	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.562855186180204	0.5395829851568431	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA2406.1	PK03576.1	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.562186899054326	0.5518221586935877	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA1816.2	O11	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5619812449106819	0.5961435203313155	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA2087.1	PK24205.1	Basic leucine zipper factors (bZIP)	Group A	cluster_07	0.5619503790209419	0.5406072194421402	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA1808.2	GLYMA-06G314400	Basic leucine zipper factors (bZIP)	Group A	cluster_07	0.5618098072303342	0.546242724155555	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA1425.2	HYH	Basic leucine zipper factors (bZIP)	Group H	cluster_07	0.5617542181690436	0.5753447400623193	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA1361.2	bHLH18	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5613119932257502	0.5469039145880255	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA0959.1	AIB	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5611988352187925	0.5419001260309411	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA0931.2	ABI5	Basic leucine zipper factors (bZIP)	Group A	cluster_07	0.5610314080734606	0.5522105645287949	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA2384.1	estExt_Genewise1.C_2060077	Basic leucine zipper factors (bZIP)	bZIP	cluster_07	0.5607678803865546	0.5656465396513692	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA1364.2	BHLH72	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5605356754857824	0.5392493791767811	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA1011.2	PHYPADRAFT_72483	Basic helix-loop-helix factors (bHLH)	NA	cluster_07	0.5604558201493339	0.5957069398801005	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA0956.2	BEE2	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.56008705399297	0.5961189316687925	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA1672.2	GBF2	Basic leucine zipper factors (bZIP)	Group G	cluster_07	0.5599269371899449	0.5442292115628443	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA1362.2	bHLH77	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5598995234062949	0.5364769710482287	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
MA2077.1	PK18474.1	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5597187954992657	0.5519856931110965	0.000999000999000999	0.000999000999000999	0.003929060630091558	0.004917662982179111
