cluster_id	motif_names	motif_ids
cluster_11	Mecom,GATA5,GATA1,GATA2,GATA6,GATA4,TRPS1,Gata3	MA0029.1,MA0766.2,MA0035.4,MA0036.3,MA1104.2,MA0482.2,MA1970.1,MA0037.4
cluster_12	HOXA9,HOXC10,HOXD11,HOXB9,HOXC9,HOXC13,Hoxa11,HOXC11,HOXD12,HOXC12,HOXD10	MA0594.2,MA0905.1,MA0908.1,MA1503.1,MA0485.2,MA0907.1,MA0911.1,MA0651.2,MA0873.1,MA0906.1,MA1506.1
cluster_13	TBXT,TBX19,SREBF1,SREBF2,MGA::EVX1,TBX4,TBX5,MGA,TBX15,TBX1,EOMES,Tbx6,TBX18,TBR1,TBX20,TBX2,TBX21,TBX3	MA0009.2,MA0804.1,MA0595.1,MA0829.2,MA0596.1,MA0828.2,MA1960.1,MA0806.1,MA0807.1,MA0801.1,MA0803.1,MA0805.1,MA0800.1,MA1567.2,MA1565.1,MA0802.1,MA0689.1,MA0688.1,MA0690.2,MA1566.2
cluster_14	ZNF669,NR2F1,NR2F6,NR1H4::RXRA,NR4A2::RXRA	MA1985.1,MA0017.2,MA1537.1,MA1538.1,MA0677.1,MA0728.1,MA1539.1,MA1146.1,MA1147.1
cluster_15	ZSCAN29,Smad4,SMAD3,SMAD5	MA1602.1,MA1153.1,MA0795.1,MA1557.1
cluster_16	ZBTB26,ZBTB12,HSF4,HSF1,HSF2	MA1579.1,MA1649.1,MA0771.1,MA0486.2,MA0770.1
cluster_17	NFYB,NFYA,NFYC	MA0502.2,MA0060.3,MA1644.1
cluster_18	GMEB2,Atf1,BACH2,FOSL1::JUND,FOSL1::JUN,FOSB::JUNB,FOSB::JUN,FOSL2::JUN,CREB3L4,JUN::JUNB,FOSL2::JUNB,ATF3,Creb5,JDP2,JUNB,CREM,FOSL2::JUND,ATF7,FOS,FOS::JUN,JUND,JUN,ATF2,CREB1	MA0862.1,MA0604.1,MA1101.2,MA1470.1,MA1142.1,MA1143.1,MA1128.1,MA1129.1,MA1135.1,MA1136.1,MA1127.1,MA1130.1,MA1131.1,MA1474.1,MA1475.1,MA1132.1,MA1133.1,MA1138.1,MA1139.1,MA0605.2,MA1988.1,MA0840.1,MA0655.1,MA0656.1,MA1140.2,MA0490.2,MA0609.2,MA1144.1,MA1145.1,MA0834.1,MA0476.1,MA1951.1,MA0099.3,MA1126.1,MA0492.1,MA0491.2,MA0488.1,MA0489.2,MA1632.1,MA0018.4
cluster_19	Ar,NR3C1,NR3C2	MA0007.3,MA0113.3,MA0727.1
cluster_20	RARB,RARG,RXRB,RXRG,PAX5,Npas4	MA0857.1,MA0858.1,MA1552.1,MA0859.1,MA0860.1,MA1553.1,MA0855.1,MA1555.1,MA0856.1,MA1556.1,MA0014.3,MA1995.1
cluster_21	Arnt,Ahr::Arnt,HES7,Creb3l2,ARNT::HIF1A,Mlxip,HIF1A,CLOCK,MAX::MYC,MYC,MYCN,BHLHE40,ARNT2,MLX,MLXIPL,TFEB,TFE3,BHLHE41,HES6,HES1,HEY2,HES2,HEY1,HES5,SOHLH2,Npas2,MAX,MNT,USF2,TFEC,Arntl,CREB3L4,XBP1,CREB3,CREB3L1,ATF6,MITF,USF1,SREBF1,SREBF2	MA0004.1,MA0006.1,MA0822.1,MA0608.1,MA0259.1,MA0622.1,MA1106.1,MA0819.2,MA0059.1,MA0147.3,MA0104.4,MA0464.2,MA1464.1,MA0663.1,MA0664.1,MA0692.1,MA0831.3,MA0636.1,MA1493.1,MA1099.2,MA0649.1,MA0616.2,MA0823.1,MA0821.2,MA1560.1,MA0626.1,MA0058.3,MA0825.1,MA0526.4,MA0871.2,MA0603.1,MA1474.1,MA1475.1,MA0844.1,MA0638.1,MA0839.1,MA1466.1,MA0620.3,MA0093.3,MA0595.1,MA0829.2,MA0596.1,MA0828.2
cluster_22	Hmx1,Hmx2,Hmx3,Lhx1,Arx,Alx4,Alx1	MA0896.1,MA0897.1,MA0898.1,MA1518.2,MA0874.1,MA0853.1,MA0854.1
cluster_23	PAX6,PAX2,PAX1,PAX9	MA0069.1,MA0067.2,MA0779.1,MA0781.1
cluster_24	LIN54,Pou5f1::Sox2,POU2F1::SOX2,POU3F4,POU5F1B,POU1F1,POU5F1,POU3F3,POU3F1,POU3F2,POU2F1,POU2F3,POU2F2	MA0619.1,MA0142.1,MA1962.1,MA0789.1,MA0792.1,MA0784.2,MA1115.1,MA0788.1,MA0786.1,MA0787.1,MA0785.1,MA0627.2,MA0507.2
cluster_25	RFX1,RFX3,RFX2,RFX5,RFX7,Rfx6,RFX4	MA0509.3,MA0798.3,MA0600.2,MA0510.2,MA1554.1,MA1724.1,MA0799.2
cluster_26	DMRT3,DMRTC2,DMRTA2,DMRTA1	MA0610.1,MA1479.1,MA1478.1,MA1707.1
cluster_27	KLF17,KLF13,KLF9,Wt1,EGR2,EGR1,EGR3,EGR4,VEZF1,ZNF263,SP5,KLF3,KLF2,KLF6,KLF16,KLF11,SP3,SP8,SP9,KLF5,KLF7,KLF1,SP1,SP4,SP2,KLF14,KLF12,KLF10,KLF15,PATZ1,ZNF740,KLF4,MAZ,ZNF148,ZNF281	MA1514.1,MA0657.1,MA1107.2,MA1627.1,MA0472.2,MA0162.4,MA0732.1,MA0733.1,MA1578.1,MA0528.2,MA1965.1,MA1516.1,MA1515.1,MA1517.1,MA0741.1,MA1512.1,MA0746.2,MA0747.1,MA1564.1,MA0599.1,MA1959.1,MA0493.2,MA0079.5,MA0685.2,MA0516.3,MA0740.2,MA0742.2,MA1511.2,MA1513.1,MA1961.1,MA0753.2,MA0039.4,MA1522.1,MA1653.1,MA1630.2
cluster_28	NFIB,NFIC::TLX1,NFIC,NFIX	MA1643.1,MA0119.1,MA0161.2,MA1527.1,MA0671.1,MA1528.1
cluster_29	FOXH1,DPRX,RHOXF1,OTX1,PITX1,PITX2,OTX2,PITX3,Crx,GSC,GSC2	MA0479.1,MA1480.1,MA0719.1,MA0711.1,MA0682.2,MA1547.2,MA0712.2,MA0714.1,MA0467.2,MA0648.1,MA0891.1
cluster_30	MEF2B,MEF2D,MEF2C,MEF2A	MA0660.1,MA0773.1,MA0497.1,MA0052.4
cluster_31	RARA::RXRG,RARA::RXRA,RARA,Rarb	MA1149.1,MA0159.1,MA0729.1,MA0730.1,MA0857.1,MA0858.1,MA1552.1
cluster_32	ZNF682,RELB,MZF1,NFKB1,NFKB2,REL,RELA	MA1599.1,MA1117.1,MA0056.2,MA0105.4,MA0778.1,MA0101.1,MA0107.1
cluster_33	TFCP2,GRHL1,GRHL2,SIX2,SIX1,Six4	MA1968.1,MA0647.1,MA1105.2,MA1119.1,MA1118.1,MA2001.1
cluster_34	PBX3,PKNOX1,MEIS1,MEIS2,MEIS3	MA1114.1,MA0782.2,MA0498.2,MA1639.1,MA0774.1,MA1640.1,MA0775.1
cluster_35	ONECUT2,PAX3,CUX2,CUX1	MA0756.2,MA0780.1,MA1546.1,MA0755.1,MA0754.2
cluster_36	ZBTB7B,ZBTB7C,Gli1,Gli2	MA0694.1,MA0695.1,MA1990.1,MA0734.3
cluster_37	SCRT1,SCRT2	MA0743.2,MA0744.2
cluster_38	PHOX2B,DUXA,DUX4,PHOX2A,PROP1	MA0681.2,MA0884.2,MA0468.1,MA0713.1,MA0715.1
