	MA0260.1	MA0261.1	MA0262.1	MA0263.1	MA0264.1	MA0537.1	MA0538.1	MA0540.1	MA0541.1	MA0542.1	MA0543.1	MA0544.1	MA0545.1	MA0546.1	MA0547.1	MA0918.1	MA0919.1	MA0920.1	MA0921.1	MA0922.1	MA0923.1	MA0924.1	MA0925.1	MA0926.1	MA0927.1	MA0928.1	MA1438.1	MA1439.1	MA1440.1	MA1441.1	MA1442.1	MA1443.1	MA1444.1	MA1445.1	MA1446.1	MA1448.1	MA1449.1	MA1450.1	MA1451.1	MA1699.1	MA1701.1	MA1703.1	MA1704.1
MA0547.1	1.0	0.912507	0.0798182	0.874484	1.0	0.521368	1.0	1.0	0.911534	0.161949	0.761583	0.912507	0.521368	0.784987	4.5364199999999997e-39	0.362246	0.784987	0.521368	0.883294	0.911534	0.883294	0.942417	0.883294	0.911534	0.874484	0.911534	0.239909	0.161949	0.625584	0.874484	0.911534	0.521368	0.521368	0.911534	0.660204	0.912507	0.912507	1.0	0.883294	0.658306	0.178136	0.158971	0.239909
MA0918.1	0.999924	0.999924	0.999924	0.999924	0.999924	0.520894	0.999924	0.999924	0.999924	0.660562	0.705061	0.629319	0.251208	0.999924	0.251208	5.126360000000001e-28	0.999924	0.799747	0.738681	0.999924	0.999924	0.999924	0.150366	0.999924	0.999924	0.999924	0.150366	0.150366	0.523177	0.770689	0.999924	0.999924	0.999924	0.999924	0.705061	0.858653	0.705061	0.999924	0.251208	0.999924	0.290295	0.150366	0.215756
MA0919.1	1.0	1.0	1.0	0.194406	0.973799	1.0	1.0	1.0	1.0	0.973799	1.0	1.0	1.0	1.0	1.0	1.0	2.16439e-25	0.973799	0.450385	0.520456	6.58314e-07	0.137391	1.0	1.0	0.000244088	1.72798e-05	1.0	0.194406	1.0	0.00765847	0.00131516	0.450385	0.763733	1.0	0.763733	1.0	1.0	0.886806	1.0	0.950281	0.72998	0.178569	1.0
MA0920.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0355719	1.0	1.0	1.0	4.068280000000001e-18	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0276506	1.0	1.0	1.0	1.0	1.0	0.00149412	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0921.1	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.925611	0.999998	7.72757e-24	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.101157	0.999998	0.999998	0.999998	0.999998	0.999998	0.551747	0.999998	0.925611	0.999998
MA0922.1	1.0	1.0	0.754038	1.0	1.0	1.0	1.0	1.0	1.0	0.886098	1.0	1.0	1.0	0.950392	0.886098	1.0	0.619612	0.886098	1.0	2.15756e-15	0.619612	0.413906	1.0	1.0	0.588697	0.619612	0.402557	0.886098	1.0	0.619612	0.402557	0.402557	0.196236	1.0	0.964697	1.0	0.886098	1.0	1.0	1.0	1.0	0.893002	0.402557
MA0923.1	1.0	1.0	1.0	0.156868	0.791488	1.0	1.0	1.0	1.0	0.749793	1.0	1.0	1.0	0.434544	1.0	1.0	6.73353e-07	0.749793	0.434544	0.434544	2.5501e-23	0.0079309	1.0	1.0	0.000127114	5.20241e-05	1.0	0.217387	1.0	0.00376405	0.00114547	0.228091	0.434544	1.0	0.897072	1.0	1.0	0.353334	1.0	1.0	0.791488	0.375982	1.0
MA0924.1	1.0	1.0	1.0	0.785669	1.0	1.0	1.0	1.0	1.0	0.785669	1.0	1.0	1.0	0.256885	1.0	1.0	0.0777874	0.521795	1.0	0.256885	0.0176606	2.42261e-19	1.0	1.0	0.0253303	0.06359	1.0	0.440833	1.0	0.145893	0.0246756	0.816545	0.0612662	1.0	0.568845	1.0	1.0	0.468963	1.0	1.0	0.883086	0.930823	0.687921
MA0925.1	1.0	1.0	1.0	1.0	1.0	1.0	0.401302	1.0	1.0	1.0	0.499776	0.43036	1.0	1.0	1.0	0.110232	1.0	0.811611	1.0	1.0	1.0	1.0	1.51962e-26	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.110232	1.0	1.0	1.0	1.0	1.0	1.0	0.84637	1.0
MA0926.1	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948	4.65342e-17	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948	0.999948
